날짜,예측 종가
2024-07-10,87.04
2024-08-09,90.62
2024-09-08,88.19
2024-10-08,86.0
2024-11-07,87.42
2024-12-07,84.03
2025-01-06,84.67
2025-02-05,76.2
2025-03-07,79.52
2025-04-06,82.42
2025-05-06,79.68
2025-06-05,82.63
2025-07-05,87.73
2025-08-04,87.76
2025-09-03,86.4
2025-10-03,83.04
2025-11-02,85.82
2025-12-02,88.79
2026-01-01,92.14
2026-01-31,90.55
2026-03-02,90.41
2026-04-01,88.75
2026-05-01,89.88
2026-05-31,90.4
2026-06-30,91.36
2026-07-30,94.63
2026-08-29,94.36
2026-09-28,92.48
2026-10-28,94.78
2026-11-27,95.39
2026-12-27,94.95
2027-01-26,103.8
2027-02-25,106.47
2027-03-27,113.9
2027-04-26,114.83
2027-05-26,110.5
2027-06-25,109.63
2027-07-25,115.0
2027-08-24,116.44
2027-09-23,122.44
2027-10-23,121.0
2027-11-22,120.89
